Criminal Justice,George Mason University,VA
,,
English,Alabama State University,AL
English,University of Kentucky,KY
English,Keiser University,FL
English,Eastern Florida State College,FL
Biology,Marquette University,WI
English,Arkansas State University,AR
Fine Arts,St. Ambrose University,IA
English,Colorado Mesa University,CO
Biology,Union County College,NJ
Biology,Louisiana State University of Alexandria,LA
Computer Science,University of Mississippi,MS
,,
,,
,,
,,
,,
English,Lone Star College (all),TX
Business,University of Alabama at Birmingham,AL
Business,University of Michigan - Flint,MI
Management,University of Alabama,AL
Business,University of Alabama at Birmingham,AL
,,
Economics,Northern Illinois University,IL
English,Concordia University,QC
Biology,Frostburg State University,MD
Education,Mount Royal University,AB
Nursing,State College of Florida Manatee-Sarasota,FL
Environment,SUNY Potsdam,NY
Mathematics,Tri-County Technical College,SC
Mathematics,Victor Valley College,CA
Spanish,Christopher Newport University,VA
Mathematics,Medgar Evers College,NY
Communication Disorders,"Minnesota State University, Mankato",MN
Aeronautics,Saint Louis University,MO
Marketing,Berkeley College,NY
Animal Science,University of Wyoming,WY
Mathematics,Borough of Manhattan Community College,NY
Business,Benedictine University,IL
Psychology,Florida State College at Jacksonville,FL
,,
English,Texas A&M University at College Station,TX
English,Central Michigan University,MI
Economics,Trinity Washington University,DC
Information Technology,College of Southern Idaho,ID
History,Pasadena City College,CA
Humanities,Connors State College,OK
Physical Education,Ball State University,IN
Political Science,Texas A&M University at Kingsville,TX
Education,East Carolina University,NC
Sociology,Temple University,PA
Psychology,Central Michigan University,MI
Health Science,Ball State University,IN
Nursing,Connors State College,OK
,,
Engineering,Texas A&M University at Kingsville,TX
Physics,Carleton University,ON
,,
English,Alabama A&M University,AL
Psychology,University of Saskatchewan,SK
English,Alabama A&M University,AL
Linguistics,University of Mary Washington,VA
English,Baruch College,NY
Business,Otterbein University,OH
,,
Business,Samford University,AL
Finance,Baruch College,NY
Physical Education,Old Dominion University,VA
New Student Seminar,Cincinnati State,OH
English,Longwood University,VA
Business Administration,University of Mary Washington,VA
English,Bentley University,MA
,,
Mathematics,Appalachian State University,NC
English,State College of Florida Manatee-Sarasota,FL
English,Mississippi State University,MS
,,
Management,University of Lethbridge,AB
